Player,Pos,MP,Min,PrgC,PrgP,xAG,xG,Gls,Gls-xG,PPA,Att 3rd,Name,Minutes played,Appearances,Tackles,Interceptions,Clearances,Ground duels won,Ground duels won %,Total duels won,Aerial duels won %,Aerial duels won,Total duels won %
Jakub Moder,MF,2,5,2,3,0.0,0.0,0,0.0,0,4,Jakub Moder,19,2,0,0,2,0,0.0,0,0.0,0,0.0
Sam Morsy,MF,14,1253,6,60,0.5,0.3,1,0.7,9,137,Sam Morsy,1253,14,34,15,20,59,54.13,67,34.78,8,50.76
Mason Mount,"MF,FW",7,234,2,6,0.1,0.4,0,-0.4,0,35,Mason Mount,237,7,6,0,0,10,38.46,11,14.29,1,33.33
Wilfred Ndidi,MF,15,1215,9,37,1.4,1.4,0,-1.4,6,141,Wilfred Ndidi,1222,15,48,9,43,66,47.14,93,51.92,27,48.44
Matheus Nunes,"MF,FW",11,440,24,22,1.9,0.2,0,-0.2,17,215,Matheus Nunes,448,11,14,3,5,27,50.0,32,45.45,5,49.23
Christian Nørgaard,MF,12,974,5,50,0.4,1.4,1,-0.3999999999999999,2,110,Christian Nørgaard,979,12,34,16,22,49,58.33,64,65.22,15,59.81
Matt O'Riley,MF,5,221,3,10,0.4,0.7,1,0.3,3,39,Matt O'Riley,219,5,5,4,3,9,56.25,10,50.0,1,55.56
Amadou Onana,MF,10,703,8,23,0.1,1.6,2,0.3999999999999999,4,77,Amadou Onana,709,10,25,16,15,41,56.16,54,52.0,13,55.1
Frank Onyeka,MF,2,25,0,1,0.0,0.0,0,0.0,1,4,Frank Onyeka,28,2,0,0,0,0,0.0,0,0.0,0,0.0
Cole Palmer,"MF,FW",15,1297,51,90,5.6,10.1,11,0.9000000000000004,30,342,Cole Palmer,1300,15,10,5,5,63,56.25,63,0.0,0,55.26
Lucas Paquetá,MF,15,1034,9,61,1.5,2.5,2,-0.5,16,189,Lucas Paquetá,1037,15,25,8,18,48,41.74,63,37.5,15,40.65
Thomas Partey,"MF,DF",14,1197,7,82,1.3,1.2,2,0.8,18,235,Thomas Partey,1200,14,39,15,23,59,53.15,73,70.0,14,55.73
Andreas Pereira,MF,14,943,9,56,1.9,2.7,1,-1.7000000000000002,12,283,Andreas Pereira,952,14,8,4,2,25,37.31,32,46.67,7,39.02
Kalvin Phillips,MF,7,537,4,27,0.1,0.3,0,-0.3,4,65,Kalvin Phillips,541,7,14,7,11,31,48.44,36,45.45,5,48.0
